level_0,index,Radiance,c2_1,c3_1,water_Reflectance_1,c2_2,c3_2,water_Reflectance_2,Mean_water_Reflectance,Standard_deviation_water
194,194,544.0,103.7822,93574650.0,107.4846,103.7822,82594540.0,94.8722,101.17840000000001,8.918313567037208
195,195,545.0,104.0862,93852460.0,107.4885,104.0862,82839170.0,94.8751,101.18180000000001,8.919020673818398
196,196,546.0,104.3935,94238780.0,107.6134,104.3935,83144010.0,94.944,101.2787,8.958618653564843
197,197,547.0,104.7525,94561020.0,107.6114,104.7525,83436210.0,94.9512,101.2813,8.952113271177932
198,198,548.0,105.164,94972900.0,107.657,105.164,83837080.0,95.0339,101.34545,8.925879609595905
199,199,549.0,105.6243,95441530.0,107.7169,105.6243,84298720.0,95.1409,101.4289,8.892574880202018
200,200,550.0,106.117,95871340.0,107.6997,106.117,84708210.0,95.1592,101.42945,8.867472589469905
201,201,551.0,106.6957,96458290.0,107.771,106.6957,85187430.0,95.1784,101.4747,8.90431285276972
202,202,552.0,107.3525,97127970.0,107.8555,107.3525,85733320.0,95.2023,101.5289,8.947163523709632
203,203,553.0,108.0723,97794440.0,107.8721,108.0723,86334430.0,95.2312,101.55165,8.93846611030103
204,204,554.0,108.9135,98446260.0,107.753,108.9135,86995030.0,95.2188,101.4859,8.863017816748423
205,205,555.0,109.8502,99196150.0,107.6473,109.8502,87699240.0,95.1712,101.40925,8.821934912761487
206,206,556.0,110.8607,100122800.0,107.6627,110.8607,88434360.0,95.0941,101.3784,8.887342290021243
207,207,557.0,111.818,100929600.0,107.6013,111.818,89166390.0,95.0602,101.33075,8.86789685353861
208,208,558.0,112.8623,101822300.0,107.5483,112.8623,89948790.0,95.0073,101.2778,8.86782614286049
209,209,559.0,114.04,102861100.0,107.5237,114.04,90798290.0,94.9141,101.2189,8.91633366804989
210,210,560.0,115.2344,103861700.0,107.4445,115.2344,91650110.0,94.8116,101.12805,8.932809256051542
211,211,561.0,116.4514,104903500.0,107.3877,116.4514,92557330.0,94.749,101.06835,8.936910475382419
212,212,562.0,117.6822,105965000.0,107.3402,117.6822,93484280.0,94.6975,101.01885,8.939738902507157
213,213,563.0,118.89,106919200.0,107.2065,118.89,94267980.0,94.5214,100.86395,8.969720230029477
214,214,564.0,120.2389,107999500.0,107.0749,120.2389,95190140.0,94.3752,100.72505000000001,8.980043989034794
215,215,565.0,121.6284,109159900.0,106.9885,121.6284,96219280.0,94.3053,100.6469,8.96837672714522
216,216,566.0,122.8439,110270700.0,107.0077,122.8439,97241650.0,94.3641,100.6859,8.940375298610236
217,217,567.0,124.237,111387800.0,106.8809,124.237,98232480.0,94.2579,100.5694,8.925808898917783
218,218,568.0,125.6011,112488300.0,106.7634,125.6011,99177130.0,94.1298,100.4466,8.933304230798369
219,219,569.0,126.7327,113551100.0,106.81,126.7327,100068600.0,94.128,100.469,8.967528199007797
220,220,570.0,127.9924,114657300.0,106.7893,127.9924,101026100.0,94.0935,100.4414,8.977286272588165
221,221,571.0,129.2194,115693300.0,106.7311,129.2194,101947500.0,94.05,100.39054999999999,8.966891802904728
222,222,572.0,130.3385,116610400.0,106.6534,130.3385,102780400.0,94.0042,100.3288,8.944335096584883
223,223,573.0,131.4581,117540000.0,106.588,131.4581,103555800.0,93.907,100.2475,8.966821092226606
224,224,574.0,132.4927,118374700.0,106.5068,132.4927,104332200.0,93.8718,100.1893,8.934294180292031
225,225,575.0,133.3896,119095000.0,106.4342,133.3896,105071700.0,93.9018,100.168,8.861745024542294
226,226,576.0,134.0753,119741600.0,106.4648,134.0753,105597400.0,93.889,100.17689999999999,8.892433458845785
227,227,577.0,134.7212,120379300.0,106.5187,134.7212,106121300.0,93.9024,100.21055,8.921071283483837
228,228,578.0,135.2874,120923400.0,106.5524,135.2874,106599700.0,93.931,100.24170000000001,8.924677528067898
229,229,579.0,135.6852,121227600.0,106.5073,135.6852,106928500.0,93.9445,100.2259,8.883241070690357
230,230,580.0,135.9575,121442000.0,106.4819,135.9575,107141500.0,93.943,100.21244999999999,8.866341218619999
231,231,581.0,136.0975,121556800.0,106.4729,136.0975,107242100.0,93.9345,100.2037,8.865987665229405
232,232,582.0,136.1051,121563900.0,106.4731,136.1051,107242600.0,93.9297,100.2014,8.869523199135346
233,233,583.0,136.0107,121487600.0,106.4802,136.0107,107208400.0,93.965,100.2226,8.849582787905874
234,234,584.0,135.796,121272800.0,106.46,135.796,107050300.0,93.9747,100.21735,8.828440295148399
235,235,585.0,135.46,120905000.0,106.4004,135.46,106745000.0,93.9392,100.16980000000001,8.811399021721808
236,236,586.0,135.0861,120490700.0,106.3292,135.0861,106438300.0,93.9285,100.12885,8.76861906146002
237,237,587.0,134.6181,120031700.0,106.2926,134.6181,106039900.0,93.9022,100.0974,8.761335861613798
238,238,588.0,134.0785,119550200.0,106.2921,134.0785,105568300.0,93.8608,100.07645,8.790256528964333
239,239,589.0,133.5725,119102100.0,106.295,133.5725,105138500.0,93.8328,100.0639,8.81210612850299
240,240,590.0,133.1298,118650000.0,106.2435,133.1298,104756300.0,93.8027,100.0231,8.796974043385598
241,241,591.0,132.6933,118182100.0,106.1727,132.6933,104384300.0,93.777,99.97485,8.765083527554092
242,242,592.0,132.1815,117681800.0,106.1326,132.1815,103972700.0,93.7689,99.95075,8.742456110556114
243,243,593.0,131.8815,117275300.0,106.0066,131.8815,103578200.0,93.6255,99.81605,8.754759768548766
244,244,594.0,131.6471,116925100.0,105.8782,131.6471,103242600.0,93.4884,99.6833,8.760911597545093
245,245,595.0,131.41,116618400.0,105.791,131.41,102986900.0,93.4252,99.60810000000001,8.743941034796604
246,246,596.0,131.2643,116397600.0,105.7079,131.2643,102778000.0,93.3391,99.5235,8.746062355140165
247,247,597.0,131.2321,116257500.0,105.6066,131.2321,102624200.0,93.2223,99.41445,8.757022510248557
248,248,598.0,131.3098,116194800.0,105.4872,131.3098,102525600.0,93.0777,99.28245,8.774841601134467
